ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProxZpos,ProxZneg,ProxYpos,ProxYneg,ProxXpos,ProxXneg,TopArea,SidesArea,NumberOfFaces,ClashCount
InteriorWall,4.75,72.58,1.09,1.74,0.1,3.1,0,0.29,4.86,2.3,4.44,2.09,0.17,11.41,6,4
InteriorWall,4.62,72.58,1.09,1.79,0.1,3.1,0,0.29,4.86,2.3,6.28,0.2,0.18,11.72,6,3
InteriorWall,3.94,72.58,1.09,2.1,0.1,3.1,0,0.29,4.96,0.2,3.11,5.06,0.21,13.64,10,6
InteriorWall,1.78,72.58,1.09,4.66,0.1,3.1,0,0.29,0.2,2.4,3.11,5.06,0.47,29.5,10,5
InteriorWall,3.76,72.58,1.09,2.2,0.1,3.1,0,0.29,4.86,0.2,6.18,1.99,0.22,14.26,10,6
InteriorWall,6.22,72.58,1.09,1.33,0.1,3.1,0,0.29,4.24,1.69,4.34,3.83,0.13,8.85,6,3
InteriorWall,2.75,72.58,1.09,3.01,0.1,3.1,0,0.29,4.86,2.3,0.2,5.06,0.3,19.31,6,5
ExteriorWall,1.05,36.29,1.09,7.87,0.2,3.1,0,0.29,0,7.06,0.2,0.2,1.57,50.05,14,7
ExteriorWall,1.03,36.29,1.09,8.07,0.2,3.1,0,0.29,7.06,0,0.2,0,1.61,51.29,10,8
ExteriorWall,1.17,36.29,1.09,7.06,0.2,3.1,0,0.29,0,0.2,8.07,0,1.41,45,6,4
ExteriorWall,1.14,36.29,1.09,7.26,0.2,3.1,0,0.29,0,0,0,8.07,1.45,46.24,6,5
InteriorDoor,8.99,181.45,1.69,0.92,0.04,2.01,1.09,0.29,3.12,3.22,3.14,5.09,0.04,3.86,6,3
InteriorDoor,8.99,181.45,1.69,0.92,0.04,2.01,1.09,0.29,5.98,0.36,6.21,2.02,0.04,3.86,6,3
InteriorDoor,8.99,181.45,1.69,0.92,0.04,2.01,1.09,0.29,6.08,0.25,3.14,5.09,0.04,3.86,6,3
ExteriorDoor,8.19,181.45,1.69,1.01,0.04,2.01,1.09,0.29,7.14,0.08,4.19,3.07,0.04,4.21,6,3
Window,1.88,181.45,1.34,4.41,0.04,2.53,0.27,0.59,0.08,7.14,3.46,0.4,0.18,22.5,6,2
Window,3.35,181.45,1.34,2.47,0.04,2.53,0.27,0.59,0.08,7.14,0.4,5.41,0.1,12.68,6,2
BathroomFloor,2.83,3.46,11.69,2.92,2.1,0.29,3.1,0,4.96,0.2,0.2,5.16,6.12,2.91,6,4
Floor,1,1,11.69,8.27,7.26,0.29,3.1,0,0,0,0,0,60.04,9.01,18,17
InteriorWall,15.42,93.64,1.06,0.71,0.1,3.56,0,0.21,6.82,2.44,2.38,7.86,0.07,5.77,6,3
InteriorWall,6.97,93.64,1.06,1.57,0.1,3.56,0,0.21,4.52,4.74,9.18,0.2,0.16,11.9,6,2
InteriorWall,9.78,93.64,1.06,1.12,0.1,3.56,0,0.21,6.82,2.44,4.41,5.42,0.11,8.67,6,4
InteriorWall,9.95,93.64,1.06,1.1,0.1,3.56,0,0.21,5.72,2.54,7.65,3.19,0.11,8.53,10,5
InteriorWall,2.31,93.64,1.06,4.74,0.1,3.56,0,0.21,0.88,3.74,7.65,3.19,0.47,34.47,6,4
InteriorWall,4.87,93.64,1.06,2.25,0.1,3.56,0,0.21,6.92,0.2,6.54,4.31,0.22,16.7,6,5
InteriorWall,4.66,93.64,1.06,2.35,0.1,3.56,0,0.21,6.82,0.2,2.28,8.57,0.23,17.41,6,4
InteriorWall,4.66,93.64,1.06,2.35,0.1,3.56,0,0.21,6.82,0.2,5.53,5.32,0.23,17.41,6,6
InteriorWall,4.66,93.64,1.06,2.35,0.1,3.56,0,0.21,6.82,0.2,4.31,6.54,0.23,17.41,10,5
InteriorWall,3.27,93.64,1.06,3.35,0.1,3.56,0,0.21,5.62,3.64,4.41,3.19,0.33,24.54,10,6
InteriorWall,2.26,93.64,1.06,4.84,0.1,3.56,0,0.21,0.88,3.64,4.31,6.54,0.48,35.18,6,4
InteriorWall,2.14,93.64,1.06,5.12,0.1,3.56,0,0.21,6.82,2.44,5.63,0.2,0.51,37.19,12,9
ExteriorWall,1.04,46.82,1.06,10.55,0.2,3.56,0,0.21,0.68,8.48,0.2,0.2,2.11,76.53,18,9
ExteriorWall,1,46.82,1.06,10.95,0.2,3.56,0,0.21,9.16,0,0,0,2.19,79.38,10,9
ExteriorWall,1.29,46.82,1.06,8.48,0.2,3.56,0,0.21,0.68,0.2,0,10.75,1.7,61.83,6,4
ExteriorWall,1.29,46.82,1.06,8.48,0.2,3.56,0,0.21,0.68,0.2,10.75,0,1.7,61.83,6,6
InteriorDoor,11.9,234.1,1.66,0.92,0.04,2.27,1.29,0.21,5.65,3.67,6.64,3.39,0.04,4.36,6,3
