ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProximityDistance,TopArea,SidesArea,NumberOfFaces,ClashCount
InteriorWall,9.87,73.77,1.04,1.01,0.1,3.32,2.27,0.1,7.38,8,5
InteriorWall,2.08,73.77,1.04,4.79,0.1,3.32,0.2,0.48,32.45,6,4
InteriorWall,5.06,73.77,1.04,1.97,0.1,3.32,0.2,0.2,13.76,6,5
InteriorWall,5.06,73.77,1.04,1.97,0.1,3.32,0.2,0.2,13.76,6,4
InteriorWall,8.11,73.77,1.04,1.23,0.1,3.32,2,0.12,8.86,6,5
InteriorWall,8.98,73.77,1.04,1.11,0.1,3.32,1.9,0.11,8.05,6,4
InteriorWall,3.24,73.77,1.04,3.08,0.1,3.32,1.9,0.31,21.14,10,9
InteriorWall,8.24,73.77,1.04,1.21,0.1,3.32,2.27,0.12,8.72,10,5
ExteriorWall,1.43,36.89,1.04,6.98,0.2,3.32,0,1.4,47.66,14,7
ExteriorWall,1.35,36.89,1.04,7.38,0.2,3.32,0,1.48,50.31,10,5
ExteriorWall,1.02,36.89,1.04,9.77,0.2,3.32,0,1.95,66.21,6,4
ExteriorWall,1.02,36.89,1.04,9.77,0.2,3.32,0,1.95,66.21,6,6
InteriorDoor,10.84,184.43,1.45,0.92,0.04,2.39,2.37,0.04,4.59,6,3
InteriorDoor,10.84,184.43,1.45,0.92,0.04,2.39,2.37,0.04,4.59,6,4
InteriorDoor,10.84,184.43,1.45,0.92,0.04,2.39,2.2,0.04,4.59,6,3
ExteriorDoor,9.87,184.43,1.45,1.01,0.04,2.39,0.08,0.04,5.01,6,3
Window,3.08,184.43,1.15,3.24,0.04,3,0.08,0.13,19.69,6,2
Window,3.64,184.43,1.15,2.74,0.04,3,0.08,0.11,16.66,6,2
BathroomFloor,3.46,3.74,24.71,2.88,1.97,0.14,0.2,5.69,1.36,6,4
Floor,1,1,24.71,9.97,7.38,0.14,0,73.56,4.86,18,18
InteriorWall,22.65,101.15,1.07,0.6,0.1,3.3,1.44,0.06,4.62,6,4
InteriorWall,7.43,101.15,1.07,1.83,0.1,3.3,0.2,0.18,12.75,6,4
InteriorWall,6.04,101.15,1.07,2.25,0.1,3.3,0.2,0.23,15.51,6,5
InteriorWall,2.61,101.15,1.07,5.2,0.1,3.3,0.2,0.52,34.99,9,4
InteriorWall,4.94,101.15,1.07,2.75,0.1,3.3,0.21,0.28,18.81,6,4
InteriorWall,2.09,101.15,1.07,6.5,0.1,3.3,2.55,0.65,43.56,14,7
InteriorWall,4.5,101.15,1.07,3.02,0.1,3.3,0.2,0.3,20.61,10,8
InteriorWall,23.03,101.15,1.07,0.59,0.1,3.3,1.44,0.06,4.58,6,4
InteriorWall,7.04,101.15,1.07,1.93,0.1,3.3,0.2,0.19,13.41,6,4
InteriorWall,3.31,101.15,1.07,4.1,0.1,3.3,2.03,0.41,27.72,16,7
InteriorWall,4.5,101.15,1.07,3.02,0.1,3.3,0.2,0.3,20.61,10,6
ExteriorWall,2.64,50.58,1.07,5.15,0.2,3.3,0,1.03,35.32,10,5
ExteriorWall,4.74,50.58,1.07,2.87,0.2,3.3,0,0.57,20.28,10,5
ExteriorWall,1.65,50.58,1.07,8.23,0.2,3.3,0,1.65,55.61,6,5
ExteriorWall,1.12,50.58,1.07,12.1,0.2,3.3,0,2.42,81.18,14,7
ExteriorWall,1.03,50.58,1.07,13.2,0.2,3.3,0,2.64,88.44,10,9
ExteriorWall,10.45,50.58,1.07,1.3,0.2,3.3,0,0.26,9.9,10,6
InteriorDoor,14.77,252.88,1.51,0.92,0.04,2.33,2.94,0.04,4.47,6,3
InteriorDoor,14.77,252.88,1.51,0.92,0.04,2.33,3.15,0.04,4.47,6,3
InteriorDoor,14.77,252.88,1.51,0.92,0.04,2.33,2.12,0.04,4.47,6,3
InteriorDoor,14.77,252.88,1.51,0.92,0.04,2.33,2.06,0.04,4.47,6,3
InteriorDoor,14.77,252.88,1.51,0.92,0.04,2.33,2.06,0.04,4.47,6,3
InteriorDoor,14.77,252.88,1.51,0.92,0.04,2.33,1.42,0.04,4.47,6,3
ExteriorDoor,13.46,252.88,1.51,1.01,0.04,2.33,0.08,0.04,4.88,6,3
Window,1.81,252.88,1.71,7.5,0.04,2.06,0.08,0.3,31.06,6,2
Window,2.86,252.88,1.71,4.75,0.04,2.06,0.08,0.19,19.74,6,2
Window,4.25,252.88,1.71,3.2,0.04,2.06,0.08,0.13,13.35,6,2
Window,27.18,252.88,1.71,0.5,0.04,2.06,0.08,0.02,2.22,6,2
Window,5.5,252.88,1.71,2.47,0.04,2.06,0.08,0.1,10.35,6,2
Railing,2.86,337.17,3.52,4.75,0.03,1,0,0.14,9.56,6,4
Railing,9.12,337.17,3.52,1.49,0.03,1,0,0.04,3.04,6,4
Railing,9.12,337.17,3.52,1.49,0.03,1,0,0.04,3.04,6,4
Railing,4.25,337.17,3.52,3.2,0.03,1,0,0.1,6.46,6,4
Railing,9.12,337.17,3.52,1.49,0.03,1,0,0.04,3.04,6,4
Railing,9.12,337.17,3.52,1.49,0.03,1,0,0.04,3.04,6,4
BalconyFloor,2.86,6.79,16,4.75,1.49,0.22,0,7.08,2.75,6,5
BalconyFloor,4.25,6.79,16,3.2,1.49,0.22,0,4.77,2.06,6,5
BathroomFloor,4.65,4.5,16,2.92,2.25,0.22,0.2,6.58,2.28,6,4
Floor,1.03,1.17,16,13.2,8.63,0.22,0,113.85,9.6,20,32
InteriorWall,27.38,107.92,1.07,0.5,0.1,3.05,2.04,0.05,3.67,6,4
InteriorWall,11.8,107.92,1.07,1.16,0.1,3.05,1.55,0.12,7.68,6,4
InteriorWall,11.8,107.92,1.07,1.16,0.1,3.05,2.35,0.12,7.68,10,5
InteriorWall,2.76,107.92,1.07,4.96,0.1,3.05,0.2,0.5,30.86,6,4
InteriorWall,6.68,107.92,1.07,2.05,0.1,3.05,0.2,0.21,13.13,10,5
InteriorWall,6.88,107.92,1.07,1.99,0.1,3.05,2.04,0.2,12.76,10,5
InteriorWall,7.06,107.92,1.07,1.94,0.1,3.05,0.2,0.19,12.46,6,4
InteriorWall,3.21,107.92,1.07,4.26,0.1,3.05,0.2,0.43,26.58,6,4
InteriorWall,6.22,107.92,1.07,2.2,0.1,3.05,1.55,0.22,14.05,6,6
InteriorWall,1.93,107.92,1.07,7.08,0.1,3.05,0.2,0.71,43.8,10,6
InteriorWall,2.76,107.92,1.07,4.96,0.1,3.05,0.2,0.5,30.86,10,8
ExteriorWall,1.32,53.96,1.07,10.39,0.2,3.05,0,2.08,64.61,14,10
ExteriorWall,1.29,53.96,1.07,10.59,0.2,3.05,0,2.12,65.83,18,10
ExteriorWall,1.28,53.96,1.07,10.72,0.2,3.05,0,2.14,66.61,6,5
ExteriorWall,1.3,53.96,1.07,10.52,0.2,3.05,0,2.1,65.39,10,8
InteriorDoor,14.88,269.8,1.52,0.92,0.04,2.15,3.54,0.04,4.13,6,3
InteriorDoor,14.88,269.8,1.52,0.92,0.04,2.15,2.58,0.04,4.13,6,3
InteriorDoor,14.88,269.8,1.52,0.92,0.04,2.15,2.47,0.04,4.13,6,3
InteriorDoor,14.88,269.8,1.52,0.92,0.04,2.15,2.37,0.04,4.13,6,3
InteriorDoor,14.88,269.8,1.52,0.92,0.04,2.15,1.21,0.04,4.13,6,3
ExteriorDoor,13.55,269.8,1.52,1.01,0.04,2.15,0.08,0.04,4.51,6,3
Window,2.28,269.8,2.17,6.01,0.04,1.5,0.08,0.24,18.14,6,2
Window,4.46,269.8,2.17,3.07,0.04,1.5,0.08,0.12,9.33,6,2
Window,4.79,269.8,2.17,2.86,0.04,1.5,0.08,0.11,8.7,6,2
